"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
36.0,8356.339,4589.865,33240.277,54734.434,10490.763,15103.105,27733.441,21241.07,5930.545,139839.42,35305.273,293895.2,323395.2,90918.164
37.0,9067.289,4439.1055,32859.918,55665.26,10182.939,13633.84,22889.027,20811.354,6096.2715,140784.58,33131.156,281192.5,312218.56,96821.24
38.0,9627.978,4176.3438,31217.41,52430.93,9169.843,13485.757,24530.744,20694.955,6770.2764,145058.23,27151.898,267201.3,336605.2,80510.78
39.0,10303.635,3851.0178,26291.654,44671.055,10635.586,14110.446,30870.492,20787.746,6779.0405,153345.38,22495.81,236954.14,343252.44,89798.93
40.0,11035.742,4605.2256,28861.158,43484.016,10811.585,14870.609,28260.736,20249.215,6438.1797,171915.22,20665.21,243002.73,327683.4,75613.11
41.0,11983.336,4994.1177,38632.75,38319.152,11529.225,14933.819,25801.18,20069.143,7134.365,183396.72,27137.621,243118.84,329979.2,119363.15
42.0,12451.885,4563.145,46849.62,32086.887,11694.619,14352.6875,27018.01,21669.062,7525.6978,187782.33,35637.54,224477.47,307991.38,149202.38
43.0,13094.94,4267.8105,37008.047,33560.02,10581.334,13067.524,29736.14,24611.03,8494.97,192382.39,55638.543,210862.77,283954.6,157621.11
44.0,13686.821,4181.507,33304.082,33410.434,10109.401,11847.152,31184.65,24978.717,8977.743,190586.77,78787.23,193140.55,276347.62,134873.02
45.0,14392.041,3653.538,49291.72,40371.824,11582.943,11403.368,30827.904,25320.855,8417.27,202452.84,82391.24,188080.45,248415.64,105447.055
46.0,16362.893,3443.0264,60958.3,50661.33,10831.25,11445.684,25242.652,25575.477,7896.5605,222684.6,99173.77,187636.36,222147.6,114146.82
47.0,18257.082,3724.4905,47133.9,47869.605,7904.114,11603.794,17742.445,22529.266,7153.76,214535.36,93920.05,175425.75,221814.64,91456.46
48.0,19968.168,3996.4465,33815.156,41247.96,8055.21,11976.292,18170.07,23206.617,7135.3896,193885.34,97055.195,157209.3,254887.52,66214.03
49.0,21171.4,4774.5693,36453.5,36750.793,10249.517,12216.847,20402.008,25747.783,7200.7534,178161.44,91608.97,153855.45,280573.53,43804.008
50.0,22290.04,5699.3545,34821.24,37251.566,10597.629,13145.077,23718.174,24397.822,7271.736,169057.39,89301.11,146347.33,266615.88,28837.389
51.0,22674.768,5149.4004,29677.748,35543.406,11925.604,14115.944,26110.223,21145.6,6706.1177,155269.53,76663.57,133637.6,279306.2,22848.023
52.0,21109.152,4999.586,25011.107,36241.234,12217.259,14550.042,24845.19,19865.197,6055.4624,137257.94,68606.99,112393.336,329805.88,16110.986
53.0,18751.016,5147.605,21199.12,32427.322,14022.715,14928.316,25640.209,20305.756,6027.1914,115695.35,67246.58,114639.03,361504.6,15580.663
54.0,17413.525,5118.4253,29171.271,33486.04,13569.991,14693.53,30042.512,23498.008,6128.449,99145.34,60172.793,127164.16,380657.4,22187.252
