"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,4.5,3.6169603,0.0,8295.478,6738.487,2929.2617,103.92479,0.0,0.0,210.42761,1719.7936,311.91953,0.0,0.0,6360.7793
1.0,4.6000004,13.992783,0.0,53342.074,15348.83,12977.998,485.80774,0.0,0.0,84.2381,15251.113,5265.5225,0.0,0.0,37769.234
1.0,4.7,4.022873,0.0,13327.1045,16163.681,5110.3535,376.36737,0.0,4.0196007E-4,56.328434,2490.621,2020.7347,0.0,0.0,15414.593
1.0,4.8,4.744982,0.0,6361.1177,15868.126,2211.3462,268.26495,0.0,0.0,9.842745,2372.2397,61.857845,0.0,0.0,12059.501
1.0,4.9,111.56622,0.0,18980.848,15348.593,8236.162,170.64026,0.0,0.75844425,2126.4202,384.4697,149.48415,0.0,0.0,11465.809
1.0,5.0,1.5834157,0.0,215.92993,4889.2993,378.10007,19.632938,0.0,0.0,0.0,589.25287,0.0,0.0,0.0,7610.7803
1.0,5.1,0.7097921,0.0,541.12555,2337.5078,509.52817,8.992005,0.0,0.0,0.0,2226.0142,0.0,0.0,0.0,3458.8855
1.0,5.2000003,0.0,0.0,7.8476233,3278.9695,1840.3553,6.1336317,0.0,0.0,113.67788,527.7432,1457.6027,0.0,0.0,5456.4077
1.0,5.3,0.0,0.0,0.0,1320.6143,0.0,10.869384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.1415
1.0,5.4,0.0,0.0,0.0,1108.7386,0.0,8.962366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.1885
1.0,5.5,0.0,0.0,0.0,1098.2512,0.0,17.602861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857.1187
1.0,5.6,0.0,0.0,0.0,478.57373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3553.764
1.0,5.7000003,0.0,0.0,0.0,967.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.3366
1.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.32248
1.0,5.9,0.0,0.0,0.0,5.227174E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645.9666
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016979742,0.0015657265,0.074825436,18.995764,0.0,1.9196774E7,2667.262,0.0
2.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.006846099,4.2041985E-4,0.01651668,46.26902,0.0,1.0959123E7,3619.061,0.0
2.0,2.2,0.0,0.0,0.0,0.0,7.644596E-7,0.0,0.008446629,4.8154636E-4,0.023684094,0.3427788,0.0,1.5234988E7,2421.4265,0.0
2.0,2.3000002,0.0,2.8131782E-7,0.0,0.0,0.34578657,0.0,0.0038570375,4.5505745E-4,9.168434E-4,23.429855,0.0,1.1975529E7,4155.4316,0.0
2.0,2.4,0.0,1.2561494E-4,0.0,0.0,0.005810721,0.0,0.002249031,2.7708668E-4,0.0067310147,0.52316594,0.0,6325935.0,1104.0824,0.0
2.0,2.5,0.0,7.074244E-7,0.0,0.0,1.2843587,0.0,0.00241015,7.5886113E-4,0.04857458,0.7602882,0.0,4103540.5,741.56836,0.0
2.0,2.6,0.0,1.2892002E-4,0.0,0.0,2.2277322,0.0,0.0017270498,0.001123201,0.04513482,13.688969,0.0,3616806.8,1099.26,0.0
2.0,2.7,0.0,6.1844144E-4,0.0,0.0,2.2554326,0.0,0.004212444,0.0014518442,0.04505819,25.436846,3.2099717E-5,1878485.0,1087.6802,0.0
2.0,2.8000002,0.0,0.002620532,0.0,0.0,0.7409631,0.0,0.0028808033,3.9931215E-4,0.10279175,185.98201,0.0,2068001.2,438.2325,0.0
2.0,2.9,0.0,0.003623027,0.0,0.0,1.7741814,0.0,0.028608572,7.2156143E-4,1.7587705E-6,2.4427645,0.0054256935,1444852.6,833.9075,0.0
2.0,3.0,0.023095572,0.0075123543,365.67136,4029.6643,151.20824,482.0645,0.025698617,0.0045579923,0.019467207,2534.3533,422.05008,1485190.1,628.34015,24319.086
2.0,3.1000001,1.2298697E-4,0.005203885,207.80916,2903.0374,214.39441,231.93661,0.0,0.0020319147,0.0,59.6467,758.7554,1184656.2,2766.6812,6660.2266
2.0,3.2,24.740837,2.337947,2237.7449,5034.084,852.19104,327.84482,2.131863,975.53064,157.1573,13.563492,2107.944,953655.3,1707.9996,11334.089
2.0,3.3,28.612442,5.2505417,642.6271,4831.864,625.9054,337.86234,8.16777,230.80382,268.24863,443.71997,952.4931,1929611.1,1009.08405,24552.914
2.0,3.4,55.449574,10.858735,2255.9424,2627.7815,535.76447,275.59888,1.8849822,617.6483,188.13641,14.021934,2633.1978,896037.06,957.3467,9525.74
2.0,3.5,63.394737,25.681637,4161.67,3423.8555,1302.4882,179.39993,2.924904,553.3755,519.7739,6804.179,3576.2563,370902.44,1057.7212,17690.0
2.0,3.6000001,99.78846,60.480934,174290.56,4411.1567,35106.93,301.92554,15.944165,646.51337,897.37976,64369.496,122706.78,195780.77,2551.647,36990.8
2.0,3.7,155.0766,116.68655,88163.56,1259.178,16827.227,118.10695,16.557222,1374.1034,3090.622,17742.734,29156.5,607356.25,494.80215,12316.034
2.0,3.8,454.94153,471.14804,210021.98,2135.0518,63215.98,130.35345,103.3921,6040.4937,13423.021,6567.0854,12859.897,640909.2,34.61933,9288.883
2.0,3.9,220.41304,1364.7883,108384.43,2028.5929,68824.375,180.544,65217.105,53964.484,1676.9167,10042.632,6495.2466,1013045.6,45.641727,23095.324
2.0,4.0,22.631153,19.009184,10506.379,1977.2594,2327.5967,173.05392,165146.97,2766.478,62.567276,2743.5732,5745.1763,62756.91,76.5095,10307.384
