"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
35.0,4.6969085,3.8612273,3.9730303,4.6654277,NaN,4.658933,NaN,3.8851235,4.061983,3.8678792,4.2467422,2.754154,2.8743699,4.534863
36.0,4.7014213,3.856386,3.9611356,4.6298423,NaN,4.716963,NaN,3.8885882,4.0930524,3.8520622,4.28405,2.7967937,2.8960624,4.6189613
37.0,4.663611,3.851781,3.959077,4.6019535,NaN,4.805376,NaN,3.891704,4.1185145,3.8507845,4.3234296,2.8927581,2.9198215,4.593809
38.0,4.670505,3.8558767,3.950901,4.6668897,NaN,4.628934,NaN,3.8904333,4.126522,3.8812747,4.3603745,2.9904575,2.9444644,4.543668
39.0,4.669624,3.853782,3.9530542,4.6886864,NaN,4.65522,NaN,3.8824677,4.1292896,3.883286,4.34486,3.0737414,2.9038234,4.5485435
40.0,4.6708283,3.8618178,3.9494364,4.6537447,NaN,4.694395,NaN,3.8907676,4.1129827,3.8375058,4.266226,3.1108057,2.8986557,4.6316113
41.0,4.7008004,3.8690395,3.966766,4.6615114,NaN,4.7814627,NaN,3.886778,4.116739,3.8800936,4.2134223,3.0005846,2.9085164,4.597376
42.0,4.678489,3.8647745,3.9552844,4.6716003,NaN,4.735036,NaN,3.8910446,4.106128,3.8306785,4.304657,2.9032452,2.9033742,4.579666
43.0,4.736536,3.8583207,3.9586232,4.71972,NaN,4.7707157,NaN,3.8869488,4.0782046,3.8473954,4.1952987,2.9075654,2.9387052,4.606186
44.0,4.7599583,3.855039,3.9908714,4.734824,NaN,4.6807585,NaN,3.8930552,4.046444,3.8180857,4.0378194,2.95618,2.9453964,4.6334467
45.0,4.7143855,3.8448617,4.023706,4.695178,NaN,4.7701097,NaN,3.8929374,4.0532255,3.804648,4.080757,2.9614465,2.9332497,4.56737
46.0,4.7079854,3.846579,3.9565637,4.7245574,NaN,4.724524,NaN,3.8907664,4.0984793,3.8090327,4.0148563,3.0058627,2.944142,4.5760207
47.0,4.705425,3.8618534,3.930184,4.715945,NaN,4.7332654,NaN,3.8924978,4.1194816,3.7671633,3.9639916,2.9604526,2.9671497,4.633712
48.0,4.685594,3.8754125,3.9512103,4.681046,NaN,4.7433357,NaN,3.8964076,4.1441474,3.7891667,3.906335,2.970563,2.9763584,4.6055264
49.0,4.6794543,3.8747282,3.943193,4.6569686,NaN,4.770238,NaN,3.8870656,4.0988317,3.7738676,3.894594,3.0715148,2.9482977,4.4944253
50.0,4.6309357,3.875567,3.929889,4.6817656,NaN,4.749973,NaN,3.8944137,4.0791674,3.7691095,3.9049687,3.07814,2.9645028,4.682139
51.0,4.622923,3.868926,3.9281194,4.659923,NaN,4.6564302,NaN,3.8916903,4.093015,3.778082,3.974959,3.0238218,2.9856787,4.621526
52.0,4.65177,3.866295,3.932244,4.641016,NaN,4.68269,NaN,3.8916764,4.1484814,3.7791116,3.9424517,3.1354795,2.9753442,4.671939
53.0,4.6215806,3.8619502,3.9494586,4.6092663,NaN,4.6669297,NaN,3.8860064,4.1849856,3.805055,3.9224637,3.2288318,2.98805,4.651324
54.0,4.6005845,3.8593993,3.953451,4.6339602,NaN,4.799268,NaN,3.880899,4.120814,3.8626218,3.9993,3.1683347,2.9692988,4.629711
55.0,4.6269317,3.8541949,3.9622276,4.610969,NaN,4.696633,NaN,3.8880737,4.1439934,3.9018679,4.1247573,3.0650396,2.937674,4.6075788
56.0,4.622544,3.8584397,3.95661,4.645272,NaN,4.6712627,NaN,3.8890514,4.2292204,3.8983135,4.1558647,3.2429154,2.9027584,4.559576
57.0,4.6333756,3.861891,3.9401474,4.6269603,NaN,4.7098317,NaN,3.8860736,4.213792,3.8517628,4.238512,3.372918,2.8908577,4.5708737
58.0,4.645167,3.8538826,3.9437888,4.625902,NaN,4.7069774,NaN,3.886129,4.197509,3.9044454,4.214114,3.2559135,2.8853896,4.5849166
59.0,4.6335053,3.8521972,3.943205,4.6376414,NaN,4.598714,NaN,3.8933735,4.1657925,3.9063125,4.2558947,2.924799,2.8966992,4.623893
60.0,4.608213,3.8469827,3.950571,4.579242,NaN,4.6842046,NaN,3.8857734,4.1153355,3.8801403,4.3453264,2.796464,2.907182,4.5609593
61.0,4.606511,3.8525035,3.9634423,4.5849485,NaN,4.7466183,NaN,3.8804514,4.1402082,3.8526134,4.385748,2.8387985,2.893572,4.5463223
62.0,4.627657,3.858019,3.9760108,4.573681,NaN,4.661565,NaN,3.8843853,4.1084294,3.8327105,4.3012304,2.7010741,2.8803186,4.609945
63.0,4.6466126,3.8571317,3.9625924,4.589184,NaN,4.627504,NaN,3.8889146,4.097852,3.8478806,4.366625,2.6627705,2.8771694,4.535553
64.0,4.6913376,3.8624904,3.9659142,4.6722884,NaN,4.658946,NaN,3.892837,4.092368,3.8814023,4.0966363,2.6753132,2.8775241,4.515509
65.0,4.716527,3.8561184,3.9788332,4.685951,NaN,4.7118726,NaN,3.8936744,4.1138463,3.8555102,4.037293,2.7215464,2.9179132,4.5676785
66.0,4.727531,3.8653982,3.964846,4.6768384,NaN,4.7793336,NaN,3.8940802,4.0926056,3.8451228,3.9740722,2.7635493,2.9246995,4.5697517
67.0,4.707971,3.8611615,3.953217,4.651031,NaN,4.73181,NaN,3.8966696,4.159431,3.8284302,3.9013872,2.8482776,2.9133804,4.5199094
68.0,4.7045703,3.8658788,3.9645667,4.659849,NaN,4.785305,NaN,3.8981009,4.225783,3.784093,3.9543982,3.0141418,2.9086034,4.646295
69.0,4.682815,3.8696125,3.966897,4.668423,NaN,4.7170577,NaN,3.8955495,4.214018,3.817633,3.9578233,3.0755157,2.9078193,4.660997
70.0,4.681293,3.8613858,3.9466853,4.6295285,NaN,4.7004156,NaN,3.8878582,4.2169704,3.828788,3.969709,3.0191798,2.9112124,4.5959535
