"% of prey species (in rows) in the diet of predator species (in col)"
"Time","Prey","lesserSpottedDogfish < 10.0","lesserSpottedDogfish >=10.0","lesserSpottedDogfish >=30.0","redMullet < 10.0","redMullet >=10.0","redMullet >=30.0","pouting < 10.0","pouting >=10.0","pouting >=30.0","whiting < 10.0","whiting >=10.0","whiting >=30.0","poorCod < 10.0","poorCod >=10.0","poorCod >=30.0","cod < 10.0","cod >=10.0","cod >=30.0","dragonet < 10.0","dragonet >=10.0","dragonet >=30.0","sole < 10.0","sole >=10.0","sole >=30.0","plaice < 10.0","plaice >=10.0","plaice >=30.0","horseMackerel < 10.0","horseMackerel >=10.0","horseMackerel >=30.0","mackerel < 10.0","mackerel >=10.0","mackerel >=30.0","herring < 10.0","herring >=10.0","herring >=30.0","sardine < 10.0","sardine >=10.0","sardine >=30.0","squids < 10.0","squids >=10.0","squids >=30.0"
1.0,"poorCod >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,2.3872213,7.246615,0.0,0.0,NaN,0.0,3.2354455,10.516456,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,3.727747,8.141106
1.0,"poorCod >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"cod < 10.0",0.0,0.0,NaN,0.0,0.0,NaN,1.1185404E-4,1.3801677E-7,0.0,0.056425843,0.0014744463,0.0,4.169579E-5,8.723976E-8,NaN,0.0017840099,0.013748958,0.0,1.4521838E-6,0.0,NaN,1.4450743E-6,1.0453125E-7,0.0,4.0653566E-5,2.5677424E-5,0.0,2.3175025E-6,0.0,NaN,0.0,0.0,NaN,2.3883022E-5,0.0,NaN,0.0,0.0,NaN,0.010878302,6.0600945E-4,0.0
1.0,"cod >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.014197052,0.13332894,0.0,0.0,NaN,0.0,0.01187547,0.050865997,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.010716323,0.034368582
1.0,"cod >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"dragonet < 10.0",0.0,15.279767,NaN,0.095375754,0.0,NaN,1.0573351,9.775721,16.264439,7.2083654,14.204585,16.128885,1.0489123,7.321175,NaN,6.371396,10.725439,7.3424387,0.18420258,0.0,NaN,0.08515865,0.002928186,40.256405,2.080176,5.665159,46.045456,0.4250573,3.2995064,NaN,0.3400034,4.0748005,NaN,0.07938472,0.0,NaN,0.011468058,0.027941735,NaN,3.0539515,9.355353,0.09678271
1.0,"dragonet >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0061893906,0.00816747,0.0,0.0,NaN,0.0,0.0053438917,0.03311723,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"dragonet >=30.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
1.0,"sole < 10.0",0.0,0.102564074,NaN,3.819095E-4,0.0,NaN,0.054044984,0.06839035,3.06054,1.4686768,5.1729865,4.7376866,0.06758452,0.08350395,NaN,0.42027512,4.45958,2.9030583,0.039111894,0.0,NaN,0.013327803,0.0010422602,0.0,0.032391127,0.043307927,6.726341,0.0049206014,0.0,NaN,0.0012525687,0.0,NaN,0.0020764698,0.0,NaN,2.8970215E-5,0.0,NaN,0.81324553,1.2893211,0.0
1.0,"sole >=10.0",0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,4.298504,5.7622104,0.0,0.0,NaN,0.0,2.6390107,6.5063148,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0
