"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
42.0,26.622074,18.774387,12.021301,41.612827,11.713922,92.90396,9.803957,14.299146,23.478975,11.030182,18.519932,16.067547,14.683954,9.787412
43.0,27.048244,18.151123,11.993847,46.67023,11.99533,100.5769,9.227394,13.9421215,24.70135,11.170378,18.1006,16.428152,14.897792,9.861065
44.0,26.305065,18.37961,12.034672,41.31091,11.9398985,76.275764,9.156075,13.571354,23.688984,10.810753,15.927027,16.944414,14.872894,12.069773
45.0,26.88496,20.208466,11.190871,42.31065,11.822157,75.03725,9.103969,14.132461,25.29244,11.065361,16.763844,16.764492,14.814403,12.370238
46.0,26.521894,19.095142,10.460863,42.663887,11.816876,81.22228,9.164028,14.015584,26.685194,10.929755,15.397632,16.410822,15.223946,10.195619
47.0,27.819056,18.483513,10.73459,40.921024,12.254429,79.09834,9.766421,13.920891,26.21478,11.3620405,16.589298,16.575745,15.313276,14.102911
48.0,26.757387,17.030241,11.525303,43.3256,12.097187,75.5991,10.04207,14.11944,25.368254,11.879189,15.96002,16.928339,14.412693,10.892253
49.0,27.58013,18.212002,11.971237,43.992847,11.694205,63.281776,9.890852,13.495253,25.021276,12.626065,17.6065,16.725163,14.798802,12.2630005
50.0,23.855158,17.67392,12.001306,45.084602,11.698898,79.34505,9.53597,13.537029,24.838306,12.576289,17.27115,17.171728,15.779642,12.1081085
51.0,25.66074,18.077675,12.206288,44.896866,11.957148,90.818085,9.630066,13.693071,23.862408,13.580222,18.160995,17.626957,14.923105,13.696235
52.0,24.156202,19.593689,11.985259,46.736717,11.919249,104.51671,9.782684,14.152425,26.117147,14.040064,17.787243,17.99629,14.044843,11.466812
53.0,26.20846,19.396498,12.347641,48.076477,11.842333,120.605865,9.734681,14.400217,27.180685,15.242011,17.841438,17.056393,14.512242,16.988728
54.0,24.399841,18.728664,12.056331,44.703243,11.580787,104.76748,9.150121,13.775486,27.8106,14.973743,18.430067,16.72766,14.33791,12.279472
55.0,26.309164,17.586233,11.985966,46.610634,11.650877,68.28953,9.422614,13.556508,28.210262,12.9322195,18.467007,18.082487,13.583305,11.544423
56.0,25.221409,18.836042,12.240064,44.174507,11.998335,79.827286,9.416618,13.568952,27.689241,13.574932,18.91322,18.059443,14.030086,10.084113
57.0,26.8151,18.058058,12.06272,40.984886,12.194032,103.567795,9.381833,13.557024,28.093327,13.636899,19.316942,17.180826,13.787559,10.597798
58.0,25.904139,18.156807,11.686638,42.294647,11.77444,87.088066,9.782997,13.335557,25.891794,12.9827795,19.385529,14.429916,14.028738,9.331615
59.0,26.37648,20.201492,11.826768,42.09021,11.543409,64.56335,9.521808,13.744335,24.244541,12.631261,19.55499,15.088243,14.403886,10.169063
60.0,26.668766,19.09823,12.195303,40.73953,11.481628,71.88029,9.210228,14.14643,24.799746,12.610527,20.542658,14.417652,13.909668,10.334112
61.0,28.372099,18.53116,12.126517,45.67426,11.38739,70.53817,9.172836,13.951418,26.289248,10.379747,20.944431,13.8524,13.727667,11.028503
62.0,28.695127,19.653694,11.781101,46.0409,11.32363,80.89063,9.633922,14.023167,26.391163,10.522604,19.17867,13.904402,14.188571,10.494688
63.0,27.581284,19.477024,11.926988,44.259247,11.359238,84.90728,9.996816,13.862029,25.769598,10.518622,19.434923,14.85098,14.234022,10.475319
64.0,27.232471,18.45174,11.951611,46.230934,12.021518,78.462944,9.497276,13.449894,25.096539,11.225826,14.651895,15.930232,14.632228,9.145687
65.0,24.289406,18.156733,12.446043,42.96653,12.373952,86.227844,9.602689,13.611317,23.328482,12.198087,17.020319,16.301668,14.3860445,10.427985
66.0,25.78229,17.304998,12.446484,41.57072,11.572609,80.804825,9.686036,13.666775,24.96743,12.1260605,15.376155,17.066456,14.384,11.428071
67.0,25.744993,19.097086,11.928017,50.03304,11.417469,85.508606,9.606124,14.285434,26.174623,12.0140505,15.553173,18.08821,14.491578,9.601907
68.0,26.177666,18.923904,11.805696,44.649315,11.881167,101.07855,10.15275,14.648877,26.468447,11.11924,16.747332,17.325846,14.552396,11.771401
69.0,29.273893,19.267147,11.998519,46.55864,12.316145,97.97479,9.956263,15.195876,28.611513,12.457858,17.228125,16.437464,14.274357,11.939454
70.0,29.639967,19.515993,12.247721,47.03771,11.982165,75.23649,9.520749,14.961474,25.530464,13.597253,17.866058,16.496624,14.513882,10.848998
